name,team,battingStyle,bowlingStyle,playingRole
Rahmanullah Gurbaz †,Afghanistan,Right hand Bat,Right arm Medium,Wicketkeeper Batter
Usman Ghani,Afghanistan,Right hand Bat,N/A,Opening Batter
Ibrahim Zadran,Afghanistan,Right hand Bat,Right arm Medium fast,Opening Batter
Gulbadin Naib,Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder
Mohammad Nabi (c),Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder
Najibullah Zadran,Afghanistan,Left hand Bat,Right arm Offbreak,Middle order Batter
Darwish Rasooli,Afghanistan,Right hand Bat,Right arm Offbreak,Top order Batter
Rashid Khan,Afghanistan,Right hand Bat,Legbreak Googly,Bowling Allrounder
Naveen-ul-Haq,Afghanistan,Right hand Bat,Right arm Medium fast,Bowler
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Left arm Fast medium,Bowler
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Right arm Offbreak,Bowler
Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder
Josh Hazlewood,Australia,Left hand Bat,Right arm Fast medium,Bowler
Paul Stirling,Ireland,Right hand Bat,Right arm Offbreak,Batting Allrounder
Andy Balbirnie (c),Ireland,Right hand Bat,Right arm Offbreak,Batter
Lorcan Tucker †,Ireland,Right hand Bat,N/A,Wicketkeeper Batter
Harry Tector,Ireland,Right hand Bat,Right arm Offbreak,Middle order Batter
Gareth Delany,Ireland,Right hand Bat,Legbreak Googly,Batting Allrounder
George Dockrell,Ireland,Right hand Bat,Slow Left arm Orthodox,Allrounder
Curtis Campher,Ireland,Right hand Bat,Right arm Medium fast,Allrounder
Fionn Hand,Ireland,Right hand Bat,Right arm Medium,Bowling Allrounder
Mark Adair,Ireland,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Barry McCarthy,Ireland,Right hand Bat,Right arm Fast medium,Bowler
Josh Little,Ireland,Right hand Bat,Left arm Fast medium,Bowler
Tristan Stubbs,South Africa,Right hand Bat,Right arm Offbreak,Batter
Tabraiz Shamsi,South Africa,Right hand Bat,Left arm Wrist spin,Bowler
Dinesh Karthik †,India,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Yasir Ali,Bangladesh,Right hand Bat,Right arm Offbreak,Middle order Batter
Shoriful Islam,Bangladesh,Left hand Bat,Left arm Fast medium,Bowler
Hasan Mahmud,Bangladesh,Right hand Bat,Right arm Fast medium,Bowler
Milton Shumba,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Top order Batter
Luke Jongwe,Zimbabwe,Right hand Bat,Right arm Fast medium,Allrounder
Dawid Malan,England,Left hand Bat,Legbreak,Top order Batter
Azmatullah Omarzai,Afghanistan,Right hand Bat,Right arm Medium fast,Allrounder
Pramod Madushan,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler
Fareed Ahmad,Afghanistan,Left hand Bat,Left arm Fast medium,Bowler
Aaron Finch (c),Australia,Right hand Bat,Slow Left arm Orthodox,Top order Batter
Tim David,Australia,Right hand Bat,Right arm Offbreak,Middle order Batter
Matthew Wade †,Australia,Left hand Bat,Right arm Medium,Wicketkeeper Batter
Mitchell Starc,Australia,Left hand Bat,Left arm Fast,Bowler
Deepak Hooda,India,Right hand Bat,Right arm Offbreak,Allrounder
Tim Pringle,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder
Fakhar Zaman,Pakistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter
Brad Evans,Zimbabwe,Right hand Bat,Right arm Fast,Allrounder
Haider Ali,Pakistan,Right hand Bat,N/A,Middle order Batter
Vikramjit Singh,Netherlands,Left hand Bat,Right arm Medium,Opening Batter
Shariz Ahmad,Netherlands,Left hand Bat,Legbreak Googly,Bowler
Mehidy Hasan Miraz,Bangladesh,Right hand Bat,Right arm Offbreak,Allrounder
Ashton Agar,Australia,Left hand Bat,Slow Left arm Orthodox,Bowler
Binura Fernando,Sri Lanka,Right hand Bat,Left arm Medium fast,Bowler
Dasun Shanaka,Sri Lanka,Right hand Bat,Right arm Medium,Allrounder
Asif Ali,Pakistan,Right hand Bat,Right arm Offbreak,Middle order Batter
Simi Singh,Ireland,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Bowling Allrounder
Hazratullah Zazai,Afghanistan,Left hand Bat,Slow Left arm Orthodox,Opening Batter
George Munsey,Scotland,Left hand Bat,Right arm Medium fast,Opening Batter
Michael Jones,Scotland,Right hand Bat,Right arm Offbreak,Top order Batter
Matthew Cross †,Scotland,Right hand Bat,N/A,Wicketkeeper Batter
Richie Berrington (c),Scotland,Right hand Bat,Right arm Medium fast,Top order Batter
Calum MacLeod,Scotland,Right hand Bat,"Right arm Medium fast, Right arm Offbreak",Top order Batter
Michael Leask,Scotland,Right hand Bat,Right arm Offbreak,Allrounder
Chris Greaves,Scotland,Right hand Bat,Legbreak,Bowler
Josh Davey,Scotland,Right hand Bat,Right arm Medium fast,Bowler
Brad Wheal,Scotland,Right hand Bat,Right arm Fast medium,Bowler
Safyaan Sharif,Scotland,Right hand Bat,Right arm Medium fast,Bowler
Mark Watt,Scotland,Left hand Bat,Slow Left arm Orthodox,Bowler
Kyle Mayers,West Indies,Left hand Bat,Right arm Medium,Batting Allrounder
Johnson Charles,West Indies,Right hand Bat,N/A,Wicketkeeper Batter
Evin Lewis,West Indies,Left hand Bat,N/A,Opening Batter
Brandon King,West Indies,Right hand Bat,N/A,Top order Batter
Nicholas Pooran (c)†,West Indies,Left hand Bat,Right arm Offbreak,Wicketkeeper Batter
Rovman Powell,West Indies,Right hand Bat,Right arm Medium fast,Middle order Batter
Odean Smith,West Indies,Right hand Bat,Right arm Fast medium,Bowling Allrounder
Obed McCoy,West Indies,Left hand Bat,Left arm Fast medium,Bowler
Akeal Hosein,West Indies,Left hand Bat,Slow Left arm Orthodox,Bowler
Alzarri Joseph,West Indies,Right hand Bat,Right arm Fast,Bowler
Jason Holder,West Indies,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Muhammad Waseem,United Arab Emirates,Right hand Bat,Right arm Medium,Opening Batter
Vriitya Aravind †,United Arab Emirates XI,Right hand Bat,N/A,Wicketkeeper Batter
CP Rizwan (c),United Arab Emirates,Right hand Bat,Legbreak Googly,Middle order Batter
Alishan Sharafu,United Arab Emirates,Right hand Bat,Right arm Medium,Opening Batter
Basil Hameed,United Arab Emirates,Right hand Bat,Right arm Offbreak,Middle order Batter
Michael van Lingen,Namibia,Left hand Bat,"Left arm Medium, Slow Left arm Orthodox",Bowling Allrounder
Stephan Baard,Namibia,Right hand Bat,Right arm Medium fast,Batter
Jan Nicol Loftie-Eaton,Namibia,Left hand Bat,"Right arm Medium, Legbreak",Batting Allrounder
Gerhard Erasmus (c),Namibia,Right hand Bat,Right arm Offbreak,Allrounder
Jan Frylinck,Namibia,Left hand Bat,Left arm Fast medium,Allrounder
JJ Smit,Namibia,Right hand Bat,Left arm Medium fast,Bowling Allrounder
David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder
Zane Green †,Namibia,Left hand Bat,N/A,Wicketkeeper Batter
Ruben Trumpelmann,Namibia,Right hand Bat,Left arm Fast,Bowler
Bernard Scholtz,Namibia,Right hand Bat,Slow Left arm Orthodox,Bowler
Ben Shikongo,Namibia,Right hand Bat,Right arm Medium fast,Bowler
Junaid Siddique,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowler
Zahoor Khan,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowler
Ahmed Raza,United Arab Emirates,Right hand Bat,Slow Left arm Orthodox,Bowler
Karthik Meiyappan,United Arab Emirates,Right hand Bat,Legbreak,Bowler
Aayan Afzal Khan,United Arab Emirates,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder
Timm van der Gugten,Netherlands,Right hand Bat,Right arm Fast medium,Bowler
Shamarh Brooks,West Indies,Right hand Bat,Legbreak,Top order Batter
Regis Chakabva (c)†,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper Batter
Dushmantha Chameera,Sri Lanka,Right hand Bat,Right arm Fast,Bowler
Chirag Suri,United Arab Emirates,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Opening Batter
Aryan Lakra,United Arab Emirates,Left hand Bat,Slow Left arm Orthodox,Batter
Kashif Daud,United Arab Emirates,Right hand Bat,Right arm Medium fast,Bowling Allrounder
Divan la Cock,Namibia,Right hand Bat,Legbreak,Opening Batter
Gerhard Erasmus,Namibia,Right hand Bat,Right arm Offbreak,Allrounder
Zawar Farid,United Arab Emirates,Right hand Bat,Right arm Medium,Bowler
Danushka Gunathilaka,Sri Lanka,Left hand Bat,Right arm Offbreak,Allrounder
